angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.05,"[52, 24, 43, 58]",0.0,0.09,0.38,0.18,0.28,0.01
0.13,"[121, 0, 76, 80]",0.0,0.42,0.01,0.09,0.25,0.1
0.11,"[97, 78, 84, 105]",0.0,0.09,0.01,0.56,0.23,0.0
